"21","г. Костанай","«Строительство завода по производству автомобилей «KIA» на индустриальной зоне в г.Костанай» Костанайская область, город Костанай, проспект Н. Назарбаева, земельный участок кадастровый номер 12-193-042-646.  Здание завода.","11/15/2023","12/02/2023","12/02/2023","Цех окраски пластика. Срубка свай в осях  SY12 -SY13/SX4 - SX5-1 в количестве 22 шт.","12_Срубка свай_22_шт","Филиал АО «GAKYEONG Architects & Engineers Inc. в г. Астана»,  №0000-1-КЖ, Лист №4, Лист №11.1.","Не применялись","Отсутствуют","Ручная дорабокта грунта под фундаменты в цехе окраски пластика в осях  SY12 -SY13/SX4 - SX5-1.","Нет","Исполнительная схема по срубке свай в осях SY12-SX13-SX4-SX5-1. №РС-011"
"22","г. Костанай","«Строительство завода по производству автомобилей «KIA» на индустриальной зоне в г.Костанай» Костанайская область, город Костанай, проспект Н. Назарбаева, земельный участок кадастровый номер 12-193-042-646.  Здание завода.","12/01/2023","12/03/2023","12/03/2023","Цех окраски пластика. Срубка свай в осях SY17/SX2-SX3 в количестве 13 шт.","12_Срубка свай_13_шт","Филиал АО «GAKYEONG Architects & Engineers Inc. в г. Астана»,  №0000-1-КЖ, Лист №4, Лист №11.1.","Не применялись","Отсутствуют","Ручная дорабокта грунта под фундаменты в цехе окраски пластика в осях SY17SX2-SX3.","Нет","Исполнительная схема по срубке свай в осях SY17-SX2-SX3. №РС-002"
"23","г. Костанай","«Строительство завода по производству автомобилей «KIA» на индустриальной зоне в г.Костанай» Костанайская область, город Костанай, проспект Н. Назарбаева, земельный участок кадастровый номер 12-193-042-646.  Здание завода.","11/14/2023","12/03/2023","12/03/2023","Цех окраски кузовов. Срубка свай в осях SY17-SY16/SX10-SX11 в количестве 21 шт.","12_Срубка свай_21_шт","Филиал АО «GAKYEONG Architects & Engineers Inc. в г. Астана», №0000-1-КЖ, Лист №5-6, Лист №11.1.","Не применялись","Отсутствуют","Ручная дорабокта грунта под фундаменты в цехе окраски кузовов в осях  SY17-SY16/SX10-SX11.","Нет","Исполнительная схема по срубке свай в осях SY17-SY16-SX10-SX11. №РС-018"
"24","г. Костанай","«Строительство завода по производству автомобилей «KIA» на индустриальной зоне в г.Костанай» Костанайская область, город Костанай, проспект Н. Назарбаева, земельный участок кадастровый номер 12-193-042-646.  Здание завода.","12/05/2023","12/06/2023","12/06/2023","Цех окраски пластика. Срубка свай в осях SY17/SX3-SX4 в количестве 13 шт.","12_Срубка свай_13_шт","Филиал АО «GAKYEONG Architects & Engineers Inc. в г. Астана»,  №0000-1-КЖ, Лист №4, Лист №11.1.","Не применялись","Отсутствуют","Ручная дорабокта грунта под фундаменты в цехе окраски пластика в осях SY17SX3-SX4.","Нет","Исполнительная схема по срубке свай в осях SY17-SX3-SX4. №РС-003"
"25","г. Костанай","«Строительство завода по производству автомобилей «KIA» на индустриальной зоне в г.Костанай» Костанайская область, город Костанай, проспект Н. Назарбаева, земельный участок кадастровый номер 12-193-042-646.  Здание завода.","12/05/2023","12/06/2023","12/06/2023","Цех окраски пластика. Срубка свай в осях SY17/SX4-SX5 в количестве 13 шт.","12_Срубка свай_13_шт","Филиал АО «GAKYEONG Architects & Engineers Inc. в г. Астана»,  №0000-1-КЖ, Лист №4, Лист №11.1.","Не применялись","Отсутствуют","Ручная дорабокта грунта под фундаменты в цехе окраски пластика в осях SY17SX4-SX5.","Нет","Исполнительная схема по срубке свай в осях SY17-SX4-SX5. №РС-004"
"26","г. Костанай","«Строительство завода по производству автомобилей «KIA» на индустриальной зоне в г.Костанай» Костанайская область, город Костанай, проспект Н. Назарбаева, земельный участок кадастровый номер 12-193-042-646.  Здание завода.","12/06/2023","12/07/2023","12/07/2023","Цех окраски пластика. Срубка свай в осях SY17/SX5-SX6 в количестве 6 шт.","12_Срубка свай_6_шт","Филиал АО «GAKYEONG Architects & Engineers Inc. в г. Астана»,  №0000-1-КЖ, Лист №4, Лист №11.1.","Не применялись","Отсутствуют","Ручная дорабокта грунта под фундаменты в цехе окраски пластика в осях  SX1/SY16-SY15.","Нет","Исполнительная схема по срубке свай в осях SY17-SX5-SX6. №РС-005"
"27","г. Костанай","«Строительство завода по производству автомобилей «KIA» на индустриальной зоне в г.Костанай» Костанайская область, город Костанай, проспект Н. Назарбаева, земельный участок кадастровый номер 12-193-042-646.  Здание завода.","11/15/2023","12/08/2023","12/08/2023","Цех окраски пластика. Срубка свай в осях SX2/SY14-SY16 в количестве 36 шт.","12_Срубка свай_36_шт","Филиал АО «GAKYEONG Architects & Engineers Inc. в г. Астана»,  №0000-1-КЖ, Лист №4, Лист №11.1.","Не применялись","Отсутствуют","Ручная дорабокта грунта под фундаменты в цехе окраски пластика в осях  SX2/SY14-SY16.","Нет","Исполнительная схема по срубке свай в осях SX2-SY14-SY16. №РС-012"
"28","г. Костанай","«Строительство завода по производству автомобилей «KIA» на индустриальной зоне в г.Костанай» Костанайская область, город Костанай, проспект Н. Назарбаева, земельный участок кадастровый номер 12-193-042-646.  Здание завода.","11/19/2023","12/26/2023","12/26/2023","Цех окраски кузовов. Срубка свай в осях  SY14 - SY15/SX13 - SX15 в количестве 48 шт.","12_Срубка свай_48_шт","Филиал АО «GAKYEONG Architects & Engineers Inc. в г. Астана», №0000-1-КЖ, Лист №5-6, Лист №11.1.","Не применялись","Отсутствуют","Ручная дорабокта грунта под фундаменты в цехе окраски кузовов в осях SY14 - SY15/SX13 - SX15.","Нет","Исполнительная схема по срубке свай в осях SY14-SY15-SX13-SX15. №РС-032"
"29","г. Костанай","«Строительство завода по производству автомобилей «KIA» на индустриальной зоне в г.Костанай» Костанайская область, город Костанай, проспект Н. Назарбаева, земельный участок кадастровый номер 12-193-042-646.  Здание завода.","11/30/2023","01/08/2024","01/08/2024","Цех окраски пластика. Срубка свай в осях SX3-SX5/SY14-SY16 в количестве 45 шт.","12_Срубка свай_45_шт","Филиал АО «GAKYEONG Architects & Engineers Inc. в г. Астана»,  №0000-1-КЖ, Лист №4, Лист №11.1.","Не применялись","Отсутствуют","Ручная дорабокта грунта под фундаменты в цехе окраски пластика в осях  SX3-SX5/SY14-SY16.","Нет","Исполнительная схема по срубке свай в осях SX3-SX5-SY14-SY16. №РС-013"
"30","г. Костанай","«Строительство завода по производству автомобилей «KIA» на индустриальной зоне в г.Костанай» Костанайская область, город Костанай, проспект Н. Назарбаева, земельный участок кадастровый номер 12-193-042-646.  Здание завода.","01/09/2024","01/09/2024","01/09/2024","Цех окраски пластика. Срубка свай в осях  SX1/SY14-SY13 в количестве 14 шт.","12_Срубка свай_14_шт","Филиал АО «GAKYEONG Architects & Engineers Inc. в г. Астана»,  №0000-1-КЖ, Лист №4, Лист №11.1.","Не применялись","Отсутствуют","Ручная дорабокта грунта под фундаменты в цехе окраски пластика в осях  SX1/SY14-SY13.","Нет","Исполнительная схема по срубке свай в осях SX1-SY13-SY14. №РС-008"
